X'047a3e3746fd48cac0a80134'
X'f1ec247f43f52502c0a80134'
X'f2cf148344da1d16c0a80134'
X'f492680f3fb19d4ac0a80133'
X'f68c6e16499c19cdc0a80135'
X'f6d61275465497b2c0a80133'
X'f919013c47a7930fc0a80133'
X'fba305c33fd89b93c0a80133'
X'fc6a40d5458c0eeec0a80132'
X'fecc55fc447478c0c0a80132'
X'ff9d47bf47a3107bc0a80134'
X'fff02d9946f93840c0a80133'
