X'02de4b2a41e17618c0a80133'
X'c2105fa242372832c0a80132'
X'c26434e63baa4fa0c0a80119'
X'c6506fd3430f82aac0a80133'
X'c6ec04ab433c0994c0a80134'
X'c8db57483b1ba047c0a80118'
X'c9152526446a5255c0a80134'
X'c9d50331412b2550c0a80134'
X'd97d0b5544e84b90c0a80132'
X'daf3498e427300c7c0a80133'
X'dd6c22fb43cd6c64c0a80132'
X'e087453f478d77c5c0a80133'
X'e30903b444512decc0a80132'
X'e5ae655a44218b31c0a80132'
X'ec5003e643244d70c0a80133'
X'f18213a54428ce4ec0a80132'
X'f59e41ec43ea3f3bc0a80133'
X'f8a0016245bd582dc0a80132'
X'f9bf07563cd75168c0a80119'
X'fad8689044a57587c0a80132'
X'fbd5028544f2380ec0a80133'
X'fbff50433de38b9ac0a80134'
X'feeb284046f558c5c0a80133'
X'fef007004499af1ac0a80132'
X'ff2420033f8ac4ecc0a80133'
