X'00c420d141bf8ca8c0a80132'
X'63e103d4452bba11c0a80133'
X'645d0482423fa3f5c0a80133'
X'649f41cf470ae49fc0a80134'
X'65b0c36d5b1b132bb86c44a4'
X'678f12773d6a7e7bc0a801e0'
X'67ad60bf462ff488c0a80134'
X'68990acc467a941fc0a80132'
X'6a206e063adc684ec0a80119'
X'6a6327db3d5ad94fc0a801e2'
X'6b491d8444f5b45dc0a80132'
X'6bb304e73e9efebcc0a80132'
X'6bc904e33a15b6f5c0a80118'
X'6bed1e5c4846e070c0a80135'
X'6c3a3b214aae74c1c0a80134'
X'6cb413d741dff901c0a80132'
X'713027ca47068282c0a80134'
X'72f116d13d4d75c0c0a80118'
X'73c720b742ea2b41c0a80134'
X'788b389952987970c0a86f85'
X'793f4a1e41e18b2cc0a80132'
X'7cb71eca46067f49c0a80134'
X'7cff1909473cb51dc0a80135'
X'7f906b6c3d5dbb99c0a80119'
X'7fd742353973b5f9c0a801e0'
X'807d03384208600fc0a80132'
X'82a226a44863e4ecc0a80135'
X'84735ad34206b6b6c0a80132'
X'85d5201139f84cbec0a80119'
X'882209db470e475bc0a80133'
X'8903475f410ea3d0c0a80132'
X'890d30693ed165f9c0a80132'
X'8a0a512346d58063c0a80134'
X'8ac830693ed16b9dc0a80132'
X'8c1316a03e3dcf82c0a80132'
X'8c8362f5427020f3c0a80134'
X'8cac01053bb9ea9fc0a80118'
X'8d1962d347c4563cc0a80135'
X'8df9281d3f108620c0a80134'
X'8e1e324342e42cb0c0a80134'
X'8ec6371d418a9ab7c0a8013c'
X'8ed513073a9d09d6c0a801e1'
X'8f4734ab4537cb53c0a80133'
X'9027542c39ca5181c0a801e1'
X'90b505a6421520c4c0a80132'
X'91b019ad43d62c72c0a80132'
X'94cd15c6420ad938c0a80132'
X'95604ed2424432afc0a80132'
X'966315c33b5de529c0a80118'
X'96aa0cb5512d9c21c0a80134'
X'976c2d5b40df7ad2c0a80134'
X'983f3c4b4287e624c0a80133'
X'999e33023b5ddd00c0a801e1'
X'99f34eda3ee9cf6dc0a80133'
X'9bfe3d3041c1dbc9c0a80132'
X'9e9c3e50437e1fbdc0a80133'
X'9f0e00dc3eccde2ec0a80132'
X'9f1000dc3eccde53c0a80132'
X'9f1200dc3eccde91c0a80132'
X'9f1700dc3eccdebac0a80132'
X'9f1900dc3eccdf5ec0a80132'
X'a0e401334675fd26c0a80132'
X'a2bd42bc47cb7394c0a80134'
X'a313429f474446eac0a80133'
X'a36431f64155a9a7c0a80132'
X'a37b10dc4e96efbfc0a80134'
X'a4120c3442fcb8aac0a80134'
X'a4a1156c41d9751dc0a80134'
X'a4c700dc3ecce029c0a80132'
X'a4c900dc3ecce069c0a80132'
X'a84135c95391e69fc0a86f98'
X'a8d500dc3ecce19bc0a80132'
X'a94b644441e53416c0a80134'
X'a9b042bc47cb7584c0a80134'
X'ab821ec543678daec0a80132'
X'abe3529a489fc12cc0a80132'
X'ac1c097b4693ea92c0a80133'
X'acca24403d765861c0a801e2'
X'acf02dbf41ad2c3fc0a80132'
X'ad6a42595363f366c0a86f99'
X'aec852013ea35f8ac0a80134'
X'b06b5f8241e5371cc0a80132'
X'b18f6bb84f59237cc0a80135'
X'b41d2aa63daddfe7c0a80132'
X'b6a124b341f2f915c0a80134'
X'b6bb5be23a52883dc0a80118'
X'be316dd745c117d4c0a80134'
X'c0700aa941336647c0a80133'
X'c1ab5710490fb062c0a80134'
X'c3132b3144f08eecc0a80134'
X'c3213484543a0b96c0a86f98'
X'c3a30c6a43caadf2c0a80132'
X'c59f4cae39f7e515c0a80119'
X'c924420f44e703c1c0a80132'
X'c9f3564a44e90f3cc0a80133'
X'cc0d64414f4eb245c0a80134'
X'ccec751b41a65524c0a80133'
X'ce063b594f96a0b5c0a80133'
X'cec6321c41b0bebec0a80132'
X'cf6408ae3f940091c0a80132'
X'd0c64bbf50196e05c0a80134'
X'd2062bb43d37e733c0a80119'
X'd2751deb427fa2aec0a80132'
X'd2784c26473db2d0c0a80135'
X'd31f35b554c67b3fc0a86f98'
X'd34504fb52ae57b9c0a86f98'
X'd4565d5c3c4e4e39c0a80118'
X'd54574da44384226c0a80134'
X'd59858063a0d6777c0a801e1'
X'd6436efc40c4bc69c0a80132'
X'd67e55f9395d11a5c0a80119'
X'd84b015c47c745a4c0a80133'
X'd97f18a44263427bc0a80133'
X'da932c2142c4bea7c0a80133'
X'db8b04e44244a41fc0a80134'
X'dcf104ad4406839ac0a80133'
X'ddd160944164135dc0a80134'
X'de1a4b5d4b5f9611c0a80135'
X'de2510164121260dc0a80134'
X'de403f8939da3669c0a80118'
X'e0cb2cc63a25efa4c0a80118'
X'e24b289b418e7d29c0a80134'
X'e33847fe47cb7867c0a80132'
X'e420055c42168e9ac0a80132'
X'e424141239a3e38ac0a801e1'
X'e4c7738542489da8c0a80132'
X'e5c90c564a88c4d8c0a80135'
X'e67168e447cd7ffbc0a80135'
X'e68c4a8a48595491c0a80133'
X'e76d72a94289d0eac0a80134'
X'e7790423406c9186ffffffff'
X'e7cd6f2340202691c0a80133'
X'e81074613fc7af9bc0a80133'
X'e858623844073dbec0a80132'
X'e88764463f17418ec0a80132'
X'ea101962407c17dcffffffff'
X'eb94670b3d753266c0a80119'
X'ed012cd142939d83c0a80134'
X'ee5e470a458decdec0a80133'
X'f13b305e39fb28efc0a801e1'
X'f239055a4645a3acc0a80133'
X'f2e6057854381367c0a86f98'
X'f34f55df39772dd8c0a801e0'
X'f356250243bc0773c0a80133'
X'f3a608723d86fe77c0a801e0'
X'f45a3ce44225e263c0a80134'
X'f6200b934b715723c0a80135'
X'f659729d3fd8f6e0c0a80132'
X'f7c310a445c8a560c0a80134'
X'f9f20a8f3bb4b0c3c0a801e0'
X'fbc972864076c4bbffffffff'
X'fc13035442c0905fc0a80132'
X'fdad025c439dbc08c0a80133'
X'fdf323ac43f392e2c0a80132'
X'fe3d6344528a334ac0a80132'
X'ffa728563ed4d4d4c0a80132'
X'ffd7378a3d2c6615c0a801e0'
